22772-4323-8105,5
11608-15290-2544,9
1299-3549-559,3
1273-6461-9066,3
27343-4230-701,120
1273-6461-8472,1
29281-6858-8482,2
2711-4323-6395,20
29614-3491-36888,16
174-29664-5511,80
24138-4808-9815,70
174-19641-22773,75
174-5511-6730,59
22608-6467-701,6
11456-22218-701,9
174-22278-2828,3
15548-16338-174,85
16265-174-24642,12
13768-174-8001,45
174-7018-72,39
20562-20953-286,24
174-8881-9132,9
12322-174-9003,28
174-3257-8319,1
24881-3261-8343,5
174-5400-9008,10
12348-13237-174,2
174-22822-5713,15
21233-3356-39757,4
174-3561-3786,8
12429-1257-15398,2
174-21473-3292,2
174-2497-4716,1
174-22773-7018,1
16422-25122-29029,3
174-209-2497,2
13819-18619-209,1
17705-4648-7714,5
10204-17978-2914,15
41589-42652-9063,10
12622-3267-8641,6
20483-2118-3267,8
17453-4755-7633,2
12390-174-19151,2
2905-3856-42,4
1273-174-19548,1
2129-3356-8220,1
10029-17648-4755,1
13049-3303-8565,3
174-3491-9031,1
18259-2497-7682,1
12793-174-8437,2
2697-7633-9498,2
174-21502-6939,1
20693-3352-5400,1
24587-286-6461,1
553-6461-8210,1
30890-34304-34411,2
12310-31710-6746,2
174-22773-4474,2
13129-20646-286,1
286-8437-8445,9
15717-286-8222,8
20485-3216-702,5
14551-701-7046,64
2857-3292-3303,9
18221-2914-4736,9
1273-4637-4694,1
15590-3320-6878,7
112-6939-7500,47
12956-42-6453,65
174-21155-8928,39
174-19806-286,41
16512-21528-8047,84
12742-13228-6703,92
42-5413-9009,8
19151-2516-42,76
19151-3303-42,76
174-2044-2828,74
1239-23383-23520,9
1273-174-5432,7
174-26910-7132,13
12989-13237-2857,4
1299-15658-28917,10
17975-701-9237,25
174-5650-8001,32
15412-174-8001,46
14717-174-19262,32
174-35193-8220,19
15960-174-8560,42
11588-18990-209,25
1239-4544-794,32
2153-23855-7610,4
15943-174-3257,3
1273-42-6539,2
10310-174-5400,2
1299-24724-9085,1
1733-568-6052,15
13237-174-25596,3
1784-6327-6596,3
12989-174-20640,2
13046-28862-5391,3
24896-29442-3255,2
1126-174-3246,4
174-6461-7018,2
12359-28842-3257,1
174-6347-6461,2
174-3356-7911,2
3261-6849-8856,3
286-6908-8943,7
3216-35104-702,5
13446-174-2828,12
2588-28886-29600,1
2914-4611-4645,1
174-19151-7784,3
174-19151-6735,3
33868-8246-8364,5
15412-20847-286,1
34180-6849-8856,7
174-3292-4004,1
15412-18302-9957,1
19151-286-28788,1
174-25463-28956,1
286-8468-8943,1
23779-2514-4713,4
17676-18282-2516,3
12956-3352-6813,1
1290-3246-3491,1
21050-35181-6412,1
2611-4589-6762,1
1-3356-5466,1
2818-3257-3491,1
11914-14742-701,10
1653-2603-3257,6
10764-293-513,5
286-5539-8763,10
109-701-7018,122
1257-174-8434,54
18101-2697-4755,65
15557-174-25170,90
174-24785-34305,52
12392-174-5511,75
174-286-6067,91
16237-174-8918,12
1126-3303-3549,14
12306-12732-174,88
3900-6461-7911,5
174-33128-8897,31
16559-174-8001,50
174-3213-9031,43
17328-174-852,57
15557-174-20900,51
174-6067-8001,50
42-4323-6461,34
13308-16150-33837,28
13237-16150-2119,13
3356-3527-70,43
16095-174-34848,6
13101-174-5713,38
16945-2914-6496,19
19151-42-4323,24
10026-174-4766,13
3212-4589-6939,6
13237-15598-9073,3
13237-174-8319,10
24611-286-9008,5
174-6779-8210,1
1299-5605-9211,1
10274-174-3561,5
174-26444-3561,5
3856-42-6461,1
174-3213-8871,9
174-33597-3491,2
174-3491-9211,1
174-3491-35908,6
174-3491-8167,6
15703-15879-286,7
15129-5056-701,3
174-19024-7018,1
174-2914-3303,2
12956-174-3549,2
13646-286-8210,1
174-3213-7575,8
15531-3216-8732,9
2857-3292-5588,1
10026-703-9502,2
174-26677-31886,3
174-23148-5413,1
1659-18422-7539,1
25232-286-41960,2
25462-286-28788,1
1273-28700-28752,2
1299-19151-22384,2
12314-31261-3216,1
1784-4200-8210,1
10223-18110-2764,2
1299-3356-559,1
2914-577-6453,1
15688-2119-8434,1
15572-3561-6405,1
